FC,F,E
1,0.00777778,0.00777778
2,0.0163889,0.00861111
3,0.0369444,0.0205556
4,0.0438889,0.0075
5,0.0513889,0.0169444
6,0.0683333,0.0136111
7,0.0819444,0.00166667
8,0.0836111,0.0211111
9,0.104722,0.00833333
10,0.113056,0.00638889
11,0.119444,0.0769444
12,0.126944,0.0188889
13,0.145833,0.00722222
14,0.155833,0.00361111
15,0.156667,0.0138889
16,0.170556,0.00833333
17,0.178889,0.0025
18,0.181389,0.0491667
19,0.186111,0.0152778
20,0.201389,0.00944444
21,0.210833,0.0158333
22,0.226667,0.0102778
23,0.236944,0.0138889
24,0.250833,0.000027778
